year,industry1,industry2,industry3,incidence_of_retrenchment
2008,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",18.9
2008,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",51.6
2008,manufacturing,transport equipment,transport equipment,7.6
2008,manufacturing,other manufacturing industries,other manufacturing industries,36.7
2008,construction,construction,construction,2.8
2008,services,wholesale and retail trade,wholesale trade,11.1
2008,services,wholesale and retail trade,retail trade,2.3
2008,services,transportation and storage,land transport and supporting services,3.7
2008,services,transportation and storage,water transport and supporting services,2.7
2008,services,transportation and storage,air transport and supporting services,5.1
2008,services,transportation and storage,other transportation services,8.3
2008,services,accommodation and food services,accommodation,1.4
2008,services,accommodation and food services,food and beverage services,1.9
2008,services,information and communications,"telecommunications, broadcasting and publishing",5.4
2008,services,information and communications,it and other information services,12.6
2008,services,financial and insurance services,financial services,15.8
2008,services,financial and insurance services,insurance services,5.1
2008,services,real estate services,real estate services,1.6
2008,services,professional services,"legal, accounting and management services",7.1
2008,services,professional services,architectural and engineering services,6.5
2008,services,professional services,other professional services,10.6
2008,services,administrative and support services,security and investigation,0.2
2008,services,administrative and support services,cleaning and landscaping,0.9
2008,services,administrative and support services,other adminstrative and support services,13
2008,services,"community, social and personal services",public administration and education,1
2008,services,"community, social and personal services",health and social services,2.9
2008,services,"community, social and personal services","arts, entertainment and recreation",13
2008,services,"community, social and personal services","other community, social and personal services",2.8
2008,others,others,others,2.3
2009,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.6
2009,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",28.1
2009,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",9.9
2009,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",31.4
2009,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",76.3
2009,manufacturing,transport equipment,transport equipment,15.3
2009,manufacturing,other manufacturing industries,other manufacturing industries,43.8
2009,construction,construction,construction,4.1
2009,services,wholesale and retail trade,wholesale trade,19.5
2009,services,wholesale and retail trade,retail trade,3.1
2009,services,transportation and storage,land transport and supporting services,2.7
2009,services,transportation and storage,water transport and supporting services,6.8
2009,services,transportation and storage,air transport and supporting services,15.7
2009,services,transportation and storage,other transportation services,10.4
2009,services,accommodation and food services,accommodation,2.6
2009,services,accommodation and food services,food and beverage services,2
2009,services,information and communications,"telecommunications, broadcasting and publishing",11.4
2009,services,information and communications,it and other information services,15.4
2009,services,financial and insurance services,financial services,20.1
2009,services,financial and insurance services,insurance services,5.3
2009,services,real estate services,real estate services,3
2009,services,professional services,"legal, accounting and management services",14.8
2009,services,professional services,architectural and engineering services,9.3
2009,services,professional services,other professional services,14.5
2009,services,administrative and support services,security and investigation,2.3
2009,services,administrative and support services,cleaning and landscaping,2.9
2009,services,administrative and support services,other adminstrative and support services,19.5
2009,services,"community, social and personal services",public administration and education,0.7
2009,services,"community, social and personal services",health and social services,0.3
2009,services,"community, social and personal services","arts, entertainment and recreation",0.5
2009,services,"community, social and personal services","other community, social and personal services",4.9
2009,others,others,others,4.6
2010,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.8
2010,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",16.5
2010,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",6.7
2010,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",15.7
2010,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",19.2
2010,manufacturing,transport equipment,transport equipment,3.1
2010,manufacturing,other manufacturing industries,other manufacturing industries,7.3
2010,construction,construction,construction,5.6
2010,services,wholesale and retail trade,wholesale trade,7.4
2010,services,wholesale and retail trade,retail trade,3.7
2010,services,transportation and storage,land transport and supporting services,2.1
2010,services,transportation and storage,water transport and supporting services,2.5
2010,services,transportation and storage,air transport and supporting services,4
2010,services,transportation and storage,other transportation services,2.1
2010,services,accommodation and food services,accommodation,-
2010,services,accommodation and food services,food and beverage services,1.8
2010,services,information and communications,"telecommunications, broadcasting and publishing",9.4
2010,services,information and communications,it and other information services,4.5
2010,services,financial and insurance services,financial services,6.4
2010,services,financial and insurance services,insurance services,3.4
2010,services,real estate services,real estate services,2.6
2010,services,professional services,"legal, accounting and management services",8.4
2010,services,professional services,architectural and engineering services,8.2
2010,services,professional services,other professional services,0.9
2010,services,administrative and support services,security and investigation,-
2010,services,administrative and support services,cleaning and landscaping,1.6
2010,services,administrative and support services,other adminstrative and support services,7.5
2010,services,"community, social and personal services",public administration and education,0.4
2010,services,"community, social and personal services",health and social services,0.5
2010,services,"community, social and personal services","arts, entertainment and recreation",1.4
2010,services,"community, social and personal services","other community, social and personal services",4.9
2010,others,others,others,-
2011,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4
2011,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",23.3
2011,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",13.4
2011,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",6.3
2011,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",22.6
2011,manufacturing,transport equipment,transport equipment,2
2011,manufacturing,other manufacturing industries,other manufacturing industries,16.7
2011,construction,construction,construction,4.2
2011,services,wholesale and retail trade,wholesale trade,5.2
2011,services,wholesale and retail trade,retail trade,4.9
2011,services,transportation and storage,land transport and supporting services,2.6
2011,services,transportation and storage,water transport and supporting services,1.9
2011,services,transportation and storage,air transport and supporting services,1.1
2011,services,transportation and storage,other transportation services,1.6
2011,services,accommodation and food services,accommodation,9.5
2011,services,accommodation and food services,food and beverage services,1.7
2011,services,information and communications,"telecommunications, broadcasting and publishing",10.5
2011,services,information and communications,it and other information services,6.8
2011,services,financial and insurance services,financial services,7.8
2011,services,financial and insurance services,insurance services,4.9
2011,services,real estate services,real estate services,2.5
2011,services,professional services,"legal, accounting and management services",8.4
2011,services,professional services,architectural and engineering services,4.8
2011,services,professional services,other professional services,14.4
2011,services,administrative and support services,security and investigation,-
2011,services,administrative and support services,cleaning and landscaping,0.5
2011,services,administrative and support services,other adminstrative and support services,2.7
2011,services,"community, social and personal services",public administration and education,0.1
2011,services,"community, social and personal services",health and social services,-
2011,services,"community, social and personal services","arts, entertainment and recreation",1.4
2011,services,"community, social and personal services","other community, social and personal services",6.9
2011,others,others,others,2.5
2012,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",1
2012,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",21.2
2012,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",9.5
2012,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",7
2012,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",20.4
2012,manufacturing,transport equipment,transport equipment,1.4
2012,manufacturing,other manufacturing industries,other manufacturing industries,14.3
2012,construction,construction,construction,2.4
2012,services,wholesale and retail trade,wholesale trade,8.3
2012,services,wholesale and retail trade,retail trade,9
2012,services,transportation and storage,land transport and supporting services,0.2
2012,services,transportation and storage,water transport and supporting services,4.1
2012,services,transportation and storage,air transport and supporting services,0.4
2012,services,transportation and storage,other transportation services,2.6
2012,services,accommodation and food services,accommodation,4.3
2012,services,accommodation and food services,food and beverage services,2
2012,services,information and communications,"telecommunications, broadcasting and publishing",13.2
2012,services,information and communications,it and other information services,10.5
2012,services,financial and insurance services,financial services,12.4
2012,services,financial and insurance services,insurance services,5.4
2012,services,real estate services,real estate services,1.1
2012,services,professional services,"legal, accounting and management services",9.7
2012,services,professional services,architectural and engineering services,9.9
2012,services,professional services,other professional services,9.3
2012,services,administrative and support services,security and investigation,0.4
2012,services,administrative and support services,cleaning and landscaping,0.6
2012,services,administrative and support services,other adminstrative and support services,7.2
2012,services,"community, social and personal services",public administration and education,0.3
2012,services,"community, social and personal services",health and social services,0.5
2012,services,"community, social and personal services","arts, entertainment and recreation",2.5
2012,services,"community, social and personal services","other community, social and personal services",2
2012,others,others,others,0.5
2013,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",1.3
2013,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",15.1
2013,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",8.4
2013,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",6.5
2013,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",26.7
2013,manufacturing,transport equipment,transport equipment,2.1
2013,manufacturing,other manufacturing industries,other manufacturing industries,30.6
2013,construction,construction,construction,3.8
2013,services,wholesale and retail trade,wholesale trade,7.7
2013,services,wholesale and retail trade,retail trade,1.5
2013,services,transportation and storage,land transport and supporting services,0.3
2013,services,transportation and storage,water transport and supporting services,3.8
2013,services,transportation and storage,air transport and supporting services,3
2013,services,transportation and storage,other transportation services,4.7
2013,services,accommodation and food services,accommodation,0.4
2013,services,accommodation and food services,food and beverage services,2.3
2013,services,information and communications,"telecommunications, broadcasting and publishing",19.4
2013,services,information and communications,it and other information services,9
2013,services,financial and insurance services,financial services,11.5
2013,services,financial and insurance services,insurance services,2.5
2013,services,real estate services,real estate services,0.5
2013,services,professional services,"legal, accounting and management services",10.2
2013,services,professional services,architectural and engineering services,5
2013,services,professional services,other professional services,5.9
2013,services,administrative and support services,security and investigation,0.1
2013,services,administrative and support services,cleaning and landscaping,0.2
2013,services,administrative and support services,other adminstrative and support services,5.4
2013,services,"community, social and personal services",public administration and education,0.2
2013,services,"community, social and personal services",health and social services,0.1
2013,services,"community, social and personal services","arts, entertainment and recreation",0.9
2013,services,"community, social and personal services","other community, social and personal services",4
2013,others,others,others,0.6
2014,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",4.1
2014,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",7.3
2014,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",5.8
2014,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",12.5
2014,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",15.9
2014,manufacturing,transport equipment,transport equipment,4.7
